"Table S1. Metadata of 122,680 filtered Salmonella enterica genomes."			
Genome ID	Serotype	Isolation Source	Country
GCA_007507825.1	Enteritidis	Animals	United Kingdom
GCA_007508485.1	Enteritidis	Animals	United Kingdom
GCA_007518025.1	Typhimurium	Animals	United Kingdom
GCA_007518325.1	Typhimurium	Animals	United Kingdom
GCA_007532085.1	Typhimurium	Animals	United Kingdom
GCA_007544455.1	Salmonella Unnamed	Animals	United Kingdom
GCA_007546735.1	Minnesota	Animals	USA
GCA_007579245.1	Salmonella Unnamed	Animals	United Kingdom
GCA_007581025.1	Salmonella Unnamed	Animals	United Kingdom
GCA_007584875.1	Enteritidis	Animals	United Kingdom
GCA_007585895.1	Typhimurium	Animals	United Kingdom
GCA_007587375.1	Senftenberg	Animals	United Kingdom
GCA_007587615.1	Enteritidis	Animals	United Kingdom
GCA_007587835.1	Enteritidis	Animals	United Kingdom
GCA_007588295.1	Enteritidis	Animals	United Kingdom
GCA_007588635.1	Enteritidis	Animals	United Kingdom
GCA_007589325.1	Enteritidis	Animals	United Kingdom
GCA_007589375.1	Typhimurium	Animals	United Kingdom
GCA_007597415.1	Typhimurium	Animals	United Kingdom
GCA_007597435.1	Typhimurium	Animals	United Kingdom
GCA_007601925.1	Nottingham	Animals	United Kingdom
GCA_007603215.1	Nottingham	Animals	United Kingdom
GCA_007606995.1	Agama	Animals	United Kingdom
GCA_007608395.1	Enteritidis	Animals	United Kingdom
GCA_007645555.1	Salmonella Unnamed	Animals	United Kingdom
GCA_007649095.1	null	Animals	Australia
GCA_007649455.1	Tranaroa	Animals	United Kingdom
GCA_007654255.1	Typhimurium	Animals	United Kingdom
GCA_007654945.1	Enteritidis	Animals	United Kingdom
GCA_007674845.1	Nottingham	Animals	United Kingdom
GCA_007675805.1	Typhimurium	Animals	United Kingdom
GCA_007750955.1	Worthington	Animals	United Kingdom
